"","Report.Date.x","MacroPlot.Name","Sample.Event.Date","Tape","Transect","Point","Order","Species","Height","Status","Comment.x","Report.Date.y","Visited","Num..Transects","Tran..Length","Num..Pts..Tran.","Offset","Collected.By","Entered.Verif..By","Comment.y"
"1","2025/10/21","FPICO1T08:08","2025/09/10",1,1,1,1,"VAMY2",0.1,NA,"","2025/10/21","True","2","20","20","0","ARL, CAF, AGJ","ARL",""
"2","2025/10/21","FPICO1T08:08","2025/09/10",2,1,2,1,"LITT1",NA,NA,"","2025/10/21","True","2","20","20","0","ARL, CAF, AGJ","ARL",""
"3","2025/10/21","FPICO1T08:08","2025/09/10",3,1,3,1,"ROCK1",NA,NA,"","2025/10/21","True","2","20","20","0","ARL, CAF, AGJ","ARL",""
"4","2025/10/21","FPICO1T08:08","2025/09/10",4,1,4,1,"ROCK1",NA,NA,"","2025/10/21","True","2","20","20","0","ARL, CAF, AGJ","ARL",""
"5","2025/10/21","FPICO1T08:08","2025/09/10",5,1,5,1,"CAXX2",0.1,NA,"","2025/10/21","True","2","20","20","0","ARL, CAF, AGJ","ARL",""
"6","2025/10/21","FPICO1T08:08","2025/09/10",5,1,5,2,"VAMY2",NA,NA,"","2025/10/21","True","2","20","20","0","ARL, CAF, AGJ","ARL",""
"7","2025/10/21","FPICO1T08:08","2025/09/10",6,1,6,1,"PICO",0.6,NA,"","2025/10/21","True","2","20","20","0","ARL, CAF, AGJ","ARL",""
"8","2025/10/21","FPICO1T08:08","2025/09/10",6,1,6,2,"VAMY2",NA,NA,"","2025/10/21","True","2","20","20","0","ARL, CAF, AGJ","ARL",""
"9","2025/10/21","FPICO1T08:08","2025/09/10",6,1,6,3,"CAXX2",NA,NA,"","2025/10/21","True","2","20","20","0","ARL, CAF, AGJ","ARL",""
"10","2025/10/21","FPICO1T08:08","2025/09/10",7,1,7,1,"LITT1",NA,NA,"","2025/10/21","True","2","20","20","0","ARL, CAF, AGJ","ARL",""
"11","2025/10/21","FPICO1T08:08","2025/09/10",8,1,8,1,"LITT1",NA,NA,"","2025/10/21","True","2","20","20","0","ARL, CAF, AGJ","ARL",""
"12","2025/10/21","FPICO1T08:08","2025/09/10",9,1,9,1,"ROCK1",NA,NA,"","2025/10/21","True","2","20","20","0","ARL, CAF, AGJ","ARL",""
"13","2025/10/21","FPICO1T08:08","2025/09/10",10,1,10,1,"ROCK1",NA,NA,"","2025/10/21","True","2","20","20","0","ARL, CAF, AGJ","ARL",""
"14","2025/10/21","FPICO1T08:08","2025/09/10",11,1,11,1,"CAXX2",0.1,NA,"","2025/10/21","True","2","20","20","0","ARL, CAF, AGJ","ARL",""
"15","2025/10/21","FPICO1T08:08","2025/09/10",12,1,12,1,"LITT1",NA,NA,"","2025/10/21","True","2","20","20","0","ARL, CAF, AGJ","ARL",""
"16","2025/10/21","FPICO1T08:08","2025/09/10",13,1,13,1,"BARE1",NA,NA,"","2025/10/21","True","2","20","20","0","ARL, CAF, AGJ","ARL",""
"17","2025/10/21","FPICO1T08:08","2025/09/10",14,1,14,1,"ROCK1",NA,NA,"","2025/10/21","True","2","20","20","0","ARL, CAF, AGJ","ARL",""
"18","2025/10/21","FPICO1T08:08","2025/09/10",15,1,15,1,"WOOD1",NA,NA,"","2025/10/21","True","2","20","20","0","ARL, CAF, AGJ","ARL",""
"19","2025/10/21","FPICO1T08:08","2025/09/10",16,1,16,1,"LITT1",NA,NA,"","2025/10/21","True","2","20","20","0","ARL, CAF, AGJ","ARL",""
"20","2025/10/21","FPICO1T08:08","2025/09/10",17,1,17,1,"ROCK1",NA,NA,"","2025/10/21","True","2","20","20","0","ARL, CAF, AGJ","ARL",""
"21","2025/10/21","FPICO1T08:08","2025/09/10",18,1,18,1,"ROCK1",NA,NA,"","2025/10/21","True","2","20","20","0","ARL, CAF, AGJ","ARL",""
"22","2025/10/21","FPICO1T08:08","2025/09/10",19,1,19,1,"BARE1",NA,NA,"","2025/10/21","True","2","20","20","0","ARL, CAF, AGJ","ARL",""
"23","2025/10/21","FPICO1T08:08","2025/09/10",20,1,20,1,"LITT1",NA,NA,"","2025/10/21","True","2","20","20","0","ARL, CAF, AGJ","ARL",""
"24","2025/10/21","FPICO1T08:08","2025/09/10",1,2,1,1,"VAMY2",0.1,NA,"","2025/10/21","True","2","20","20","0","ARL, CAF, AGJ","ARL",""
"25","2025/10/21","FPICO1T08:08","2025/09/10",1,2,1,2,"CAXX2",NA,NA,"","2025/10/21","True","2","20","20","0","ARL, CAF, AGJ","ARL",""
"26","2025/10/21","FPICO1T08:08","2025/09/10",2,2,2,1,"VAMY2",0.1,NA,"","2025/10/21","True","2","20","20","0","ARL, CAF, AGJ","ARL",""
