Densities = per acre | BA = sq. ft. / acre | Heights = feet | QMD = inches

Macroplot,MonStatusOrd,MonStatus,Species,SciName,CommName,Individuals,Sapling,Seedling,Snag,Total,BA,LiCrBHt,Height,QMD,CrFuBHt,CrScPct,ScorchHt,CharHt,LiveSeedling,DeadSeedling,LiveSapling,DeadSapling,BASapling
"FPICO1T08:08",1,"00PreBurn01","ABLA","Abies lasiocarpa","subalpine fir",24.2816673411574,,,4.04694455685957,24.2816673411574,3.23972109705233,,17.06016,4.94596479379234,,,,,,,,,
"FPICO1T08:08",1,"00PreBurn01","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",109.267503035208,,,28.328611898017,109.267503035208,72.3075614467692,,18.8646,11.014957084037,,,,,,,,,
"FPICO1T08:08",4,"01PostBurnYear00","ABLA","Abies lasiocarpa","subalpine fir",32.3755564548766,,,4.04694455685957,32.3755564548766,1.70207325256461,,17.06016,3.92714516602073,,0.00111111111111111,1.0936,0,,,,,
"FPICO1T08:08",4,"01PostBurnYear00","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",161.877782274383,,,40.4694455685957,161.877782274383,1.15645186096863,,18.8646,3.61915028749153,,0,0,0,,,,,
"FPICO1T08:08",5,"01PostBurnYear01","ABLA","Abies lasiocarpa","subalpine fir",48.5633346823149,,,8.09388911371914,48.5633346823149,2.95264377720772,,17.4976,3.33877949831846,,0,0,0,,,,,
"FPICO1T08:08",5,"01PostBurnYear01","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",210.441116956698,,,48.5633346823149,210.441116956698,131.685934979364,,19.0882909090909,10.7112673134472,,0,0,0,,,,,
"FPICO1T08:08",5,"01PostBurnYear01","PIEN","Picea engelmannii","columbian spruce, Engelmann spruce, Engelmann's spruce, mountain spruce, silver spruce, white spruce",32.3755564548766,,,0,32.3755564548766,1.84805810821674,,17.6343,3.23508466943487,,0,0,0,,,,,
"FPICO1T08:08",6,"01PostBurnYear02","ABLA","Abies lasiocarpa","subalpine fir",32.3755564548766,,,4.04694455685957,32.3755564548766,4.15945647893564,,15.09168,4.8534005232324,,0,0,0,,,,,
"FPICO1T08:08",6,"01PostBurnYear02","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",117.361392148928,,,24.2816673411574,117.361392148928,72.0593495583801,,14.9979428571429,10.6100884339262,,0,0,0,,,,,
"FPICO1T08:08",7,"01PostBurnYear05","ABLA","Abies lasiocarpa","subalpine fir",44.5163901254553,,,4.04694455685957,44.5163901254553,3.78900322911112,,11.2484571428571,3.95038095606096,,0,0,0,,,,,
"FPICO1T08:08",7,"01PostBurnYear05","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",101.173613921489,,,28.328611898017,101.173613921489,62.3610901216415,,19.02864,10.6306465456366,,0,0,0,,,,,
"FPICO1T08:08",16,"02PostBurnYear05","ABLA","Abies lasiocarpa","subalpine fir",101.173613921489,,,0,101.173613921489,12.212161758853,0.16404,32.808,4.70434434732408,,,,,,,,,
"FPICO1T08:08",16,"02PostBurnYear05","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",113.820315661675,,,88.5269121813031,113.820315661675,49.0523184893152,9.67836,50.68836,8.88907024082509,,,,,,,,,
"FPICO1T08:08",16,"02PostBurnYear05","PIEN","Picea engelmannii","columbian spruce, Engelmann spruce, Engelmann's spruce, mountain spruce, silver spruce, white spruce",37.9401052205585,,,0,37.9401052205585,9.44415444045494,0.65616,39.20556,6.75567480381247,,,,,,,,,
"FPICO1T08:09",1,"00PreBurn01","ABLA","Abies lasiocarpa","subalpine fir",8.09388911371914,,,0,8.09388911371914,3.19370524730963,,32.808,8.50560581669819,,,,,,,,,
"FPICO1T08:09",1,"00PreBurn01","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",226.628895184136,,,28.328611898017,226.628895184136,77.7783498995249,,27.7903058823529,7.93246533522794,,,,,,,,,
"FPICO1T08:09",4,"01PostBurnYear00","ABLA","Abies lasiocarpa","subalpine fir",8.09388911371914,,,0,8.09388911371914,3.21221422478978,,32.808,8.53021714087631,,0,0,0,,,,,
"FPICO1T08:09",4,"01PostBurnYear00","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",226.628895184136,,,28.328611898017,226.628895184136,78.1325864112245,,27.7903058823529,7.95050876673917,,0,0,0,,,,,
"FPICO1T08:09",5,"01PostBurnYear01","ABLA","Abies lasiocarpa","subalpine fir",8.09388911371914,,,0,8.09388911371914,0.699611978727514,,32.808,5.62991,,0,0,0,,,,,
"FPICO1T08:09",5,"01PostBurnYear01","PICO","Pinus contorta","lodgepole pine, scrub pine, shore pine, tamarack pine",226.628895184136,,,28.328611898017,226.628895184136,6.63788040983586,,27.7903058823529,4.20594011692077,,0,0,0.265588571428571,,,,,
"FPICO1T08:09",6,"01PostBurnYear02","ABLA","Abies lasiocarpa","subalpine fir",8.09388911371914,,,0,8.09388911371914,3.16397456074725,,29.5272,8.46592326069638,,0,0,0,,,,,
