Report Date,MacroPlot Name,Sample Event Date,Visited,Min. Cov. Level,Plot Area,Collected By,Entered/Verif. By,UV1 Description,UV2 Description,UV3 Description,Comment,SampleData_CreatedBy,SampleData_CreatedDate,SampleData_ModifiedBy,SampleData_ModifiedDate
2025/10/21,FPICO1T08:08,2003/08/12,True,,,,,,,,,,,,

Report Date,MacroPlot Name,Sample Event Date,Item Code,Status,Cover,Comment
2025/10/21,FPICO1T08:08,2003/08/12,ABLAL,L,0,From FMH TRANOBS 1064
2025/10/21,FPICO1T08:08,2003/08/12,JUCO6,L,0,From FMH TRANOBS 1064
2025/10/21,FPICO1T08:08,2003/08/12,PRVI,L,0,From FMH TRANOBS 1064
2025/10/21,FPICO1T08:08,2003/08/12,MARE11,L,0,From FMH TRANOBS 1064
2025/10/21,FPICO1T08:08,2003/08/12,HIAL2,L,0,From FMH TRANOBS 1064
2025/10/21,FPICO1T08:08,2003/08/12,ORAS,L,0,From FMH TRANOBS 1064
2025/10/21,FPICO1T08:08,2003/08/12,PICO,L,0,From FMH TRANOBS 1064
2025/10/21,FPICO1T08:08,2003/08/12,RUID,L,0,From FMH TRANOBS 1064
2025/10/21,FPICO1T08:08,2003/08/12,ARCO9,L,0,From FMH TRANOBS 1064
2025/10/21,FPICO1T08:08,2003/08/12,CACA4,L,0,From FMH TRANOBS 1064
2025/10/21,FPICO1T08:08,2003/08/12,SHCA,L,0,From FMH TRANOBS 1064
2025/10/21,FPICO1T08:08,2003/08/12,ERFO3,L,0,From FMH TRANOBS 1064
2025/10/21,FPICO1T08:08,2003/08/12,ROWO,L,0,From FMH TRANOBS 1064
2025/10/21,FPICO1T08:08,2003/08/12,PIEN,L,0,From FMH TRANOBS 1064
