Report Date,MacroPlot Name,Sample Event Date,Visited,Plot Area,Snag Plot Area,Break Pnt. Dia.,Collected By,Entered/Verif. By,UV1 Description,UV2 Description,UV3 Description,Comment,SampleData_CreatedBy,SampleData_CreatedDate,SampleData_ModifiedBy,SampleData_ModifiedDate
2025/10/21,FPICO1T08:08,2003/08/12,True,0.1,0.1,15,,,,,,,,,,

Report Date,MacroPlot Name,Sample Event Date,Subplot Frac.,Quarter,Tag Num.,UV1,Species,Status,Crown Class,DBH,Height,UV2,Live Crown Base Ht.,UV3,Comment,Is Verified,Damage 1,Damage 2,Damage 3,Damage 4,Damage 5,Char Ht.,Scorch Ht.,Crown Scorch %
2025/10/21,FPICO1T08:08,2003/08/12,1,1,1,,PICO,D,X,12.5,5,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,0,0,0
2025/10/21,FPICO1T08:08,2003/08/12,1,1,2,,ABLA,L,X,6.3,5,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,0,0,0
2025/10/21,FPICO1T08:08,2003/08/12,1,1,3,,PICO,D,X,12.2,7,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,0,0,0
2025/10/21,FPICO1T08:08,2003/08/12,1,1,5,,PICO,L,X,10.9,7,,, poleq1_all,From FMH TREEPOLE 1069,Yes,,,,,,0,0,0
2025/10/21,FPICO1T08:08,2003/08/12,1,2,20,,PICO,L,X,11.2,8,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,0,0,0
2025/10/21,FPICO1T08:08,2003/08/12,1,2,23,,PICO,L,X,9,7,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,0,0,0
2025/10/21,FPICO1T08:08,2003/08/12,1,2,24,,ABLA,D,X,7.3,5,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,0,0,0
2025/10/21,FPICO1T08:08,2003/08/12,1,2,25,,PICO,L,X,4.3,4,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,0,0,0
2025/10/21,FPICO1T08:08,2003/08/12,1,2,26,,ABLA,L,X,4.5,4,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,0,0,0
2025/10/21,FPICO1T08:08,2003/08/12,1,2,27,,PICO,L,X,3.4,3,,, poleq2_all,From FMH TREEPOLE 1069,Yes,,,,,,0,0,0
