Report Date,MacroPlot Name,Sample Event Date,Visited,Num. Transects,Tran. Length,Num. Pts./Tran.,Offset,Collected By,Entered/Verif. By,UV1 Description,UV2 Description,UV3 Description,Comment,SampleData_CreatedBy,SampleData_CreatedDate,SampleData_ModifiedBy,SampleData_ModifiedDate
2025/10/21,FPICO1T08:12,1999/07/22,True,1,50,166,0,,,,,,,,,,

Report Date,MacroPlot Name,Sample Event Date,Tape,Transect,Point,Order,Species,Height,Status,Comment
2025/10/21,FPICO1T08:12,1999/07/22,0.3,1,1,1,LITT1,0,D,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,0.6,1,2,1,LITT1,0,D,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,0.9,1,3,1,LITT1,0,D,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,1.2,1,4,1,LITT1,0,D,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,1.5,1,5,1,LITT1,0,L,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,1.8,1,6,1,LITT1,0,D,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,2.1,1,7,1,WOOD1,0,D,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,2.4,1,8,1,LITT1,0,D,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,2.7,1,9,1,LITT1,0,D,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,3,1,10,1,LITT1,0,D,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,3.3,1,11,1,LITT1,0,D,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,3.6,1,12,1,LITT1,0,D,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,3.9,1,13,1,LITT1,0,D,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,4.2,1,14,1,LITT1,0,D,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,4.5,1,15,1,LITT1,0,D,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,4.8,1,16,1,LITT1,0,D,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,5.1,1,17,1,LITT1,0,D,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,5.4,1,18,1,VASC,0.1,L,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,5.7,1,19,1,VASC,0.1,L,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,6,1,20,1,LITT1,0,D,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,6.3,1,21,1,ROCK1,0,D,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,6.6,1,22,1,ROCK1,0,D,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,6.9,1,23,1,LITT1,0,D,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,7.2,1,24,1,LITT1,0,D,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,7.5,1,25,1,LITT1,0,D,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,7.8,1,26,1,LITT1,0,D,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,8.1,1,27,1,LITT1,0,D,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,8.4,1,28,1,DUFF,0,D,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,8.7,1,29,1,LITT1,0,D,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,9,1,30,1,LITT1,0,D,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,9.3,1,31,1,LITT1,0,D,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,9.6,1,32,1,LITT1,0,D,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,9.9,1,33,1,LITT1,0,D,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,10.2,1,34,1,LITT1,0,D,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,10.5,1,35,1,LITT1,0,D,From FMH TRANSECT 1059
2025/10/21,FPICO1T08:12,1999/07/22,10.8,1,36,1,LITT1,0,D,From FMH TRANSECT 1059
