Report Date,MacroPlot Name,Sample Event Date,Visited,Num. Transects,Collected By,Entered/Verif. By,UV1 Description,UV2 Description,UV3 Description,Comment,SampleData_CreatedBy,SampleData_CreatedDate,SampleData_ModifiedBy,SampleData_ModifiedDate
2025/10/21,FPICO1T08:14,1999/09/14,True,4,,,,,,,,,,

Report Date,MacroPlot Name,Sample Event Date,Transect,Samp. Loc.,Litter Depth,Duff Depth,DLFuConSt,Off Set,Comment,Fuelbed Depth
2025/10/21,FPICO1T08:14,1999/09/14,1,1,0.5,1.1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,1,5,0.3,0.9,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,1,10,0.3,1.1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,1,15,0.6,1.6,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,1,20,0.3,0.2,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,1,25,0.3,0.5,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,1,30,0.5,1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,1,35,0.2,0.8,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,1,40,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,1,45,1.5,0.5,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,2,1,0.1,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,2,5,0.1,0.1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,2,10,0.3,1.3,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,2,15,0.2,0.2,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,2,20,0.1,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,2,25,0.2,0.2,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,2,30,0.3,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,2,35,0.5,0.8,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,2,40,0.2,0.2,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,2,45,0.5,1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,3,1,0.2,0.2,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,3,5,0.1,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,3,10,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,3,15,0.6,1.7,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,3,20,0.2,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,3,25,0.2,1.2,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,3,30,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,3,35,0.3,0.7,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,3,40,0.1,0.1,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,3,45,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,4,1,0.3,0.3,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,4,5,0.4,0.6,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,4,10,0.3,0.3,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,4,15,0.5,0.8,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,4,20,0.2,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,4,25,0.1,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,4,30,0,0,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,4,35,0.2,3.5,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,4,40,0.5,1.6,Default,No,From FMH DFLITDUF 1060,0
2025/10/21,FPICO1T08:14,1999/09/14,4,45,0.2,2.2,Default,No,From FMH DFLITDUF 1060,0
