Report Date,MacroPlot Name,Sample Event Date,Visited,Num. Transects,Num. Subbelts,Tran. Length,Tran. Width,Tran. Area,Collected By,Entered/Verif. By,UV1 Description,UV2 Description,UV3 Description,Comment,SampleData_CreatedBy,SampleData_CreatedDate,SampleData_ModifiedBy,SampleData_ModifiedDate
2025/10/21,FPICO1T08:16,1999/09/16,True,1,,50,2,100,,,,,,,,,,

Report Date,MacroPlot Name,Sample Event Date,Subplot Frac.,Transect,Subbelt,Item Code,Age Class,Status,Count,Comment
2025/10/21,FPICO1T08:16,1999/09/16,1,1,9,MARE11,I,L,2,From FMH BELT 1061
2025/10/21,FPICO1T08:16,1999/09/16,1,1,4,SHCA,M,L,1,From FMH BELT 1061
2025/10/21,FPICO1T08:16,1999/09/16,1,1,1,MARE11,I,L,2,From FMH BELT 1061
2025/10/21,FPICO1T08:16,1999/09/16,1,1,7,SHCA,M,L,1,From FMH BELT 1061
2025/10/21,FPICO1T08:16,1999/09/16,1,1,1,MARE11,M,L,10,From FMH BELT 1061
2025/10/21,FPICO1T08:16,1999/09/16,1,1,9,ROWO,M,L,2,From FMH BELT 1061
2025/10/21,FPICO1T08:16,1999/09/16,1,1,5,SHCA,M,L,1,From FMH BELT 1061
2025/10/21,FPICO1T08:16,1999/09/16,1,1,10,ROWO,M,L,13,From FMH BELT 1061
2025/10/21,FPICO1T08:16,1999/09/16,1,1,1,RIIN2,M,L,2,From FMH BELT 1061
2025/10/21,FPICO1T08:16,1999/09/16,1,1,1,SHCA,M,L,1,From FMH BELT 1061
2025/10/21,FPICO1T08:16,1999/09/16,1,1,6,SHCA,M,L,1,From FMH BELT 1061
2025/10/21,FPICO1T08:16,1999/09/16,1,1,9,MARE11,M,L,2,From FMH BELT 1061
2025/10/21,FPICO1T08:16,1999/09/16,1,1,8,JUCO6,M,L,3,From FMH BELT 1061
