Report Date,MacroPlot Name,Sample Event Date,Visited,Num. Transects,Tran. Length,Collected By,Entered/Verif. By,UV1 Description,UV2 Description,UV3 Description,Comment,SampleData_CreatedBy,SampleData_CreatedDate,SampleData_ModifiedBy,SampleData_ModifiedDate
2025/10/21,FPICO1T08:16,1999/09/16,True,4,50.000000076,,,,,,,,,,

Report Date,MacroPlot Name,Sample Event Date,Transect,Slope,Log No.,Diameter,Decay Class,CWDFuConSt,Comment
2025/10/21,FPICO1T08:16,1999/09/16,1,15,,10.5,4,Default,From FMH DFROTTEN 1056
2025/10/21,FPICO1T08:16,1999/09/16,1,15,,11,4,Default,From FMH DFROTTEN 1056
2025/10/21,FPICO1T08:16,1999/09/16,1,15,,3.5,4,Default,From FMH DFROTTEN 1056
2025/10/21,FPICO1T08:16,1999/09/16,1,15,,16,4,Default,From FMH DFROTTEN 1056
2025/10/21,FPICO1T08:16,1999/09/16,2,3,,4,4,Default,From FMH DFROTTEN 1056
2025/10/21,FPICO1T08:16,1999/09/16,2,3,,8.5,3,Default,From FMH DFSOUND 1055
2025/10/21,FPICO1T08:16,1999/09/16,2,3,,12,4,Default,From FMH DFROTTEN 1056
2025/10/21,FPICO1T08:16,1999/09/16,3,5,,3,4,Default,From FMH DFROTTEN 1056
2025/10/21,FPICO1T08:16,1999/09/16,3,5,,7,4,Default,From FMH DFROTTEN 1056
2025/10/21,FPICO1T08:16,1999/09/16,3,5,,4.5,3,Default,From FMH DFSOUND 1055
2025/10/21,FPICO1T08:16,1999/09/16,3,5,,7,4,Default,From FMH DFROTTEN 1056
2025/10/21,FPICO1T08:16,1999/09/16,3,5,,3,4,Default,From FMH DFROTTEN 1056
2025/10/21,FPICO1T08:16,1999/09/16,3,5,,6,4,Default,From FMH DFROTTEN 1056
2025/10/21,FPICO1T08:16,1999/09/16,3,5,,3.5,4,Default,From FMH DFROTTEN 1056
2025/10/21,FPICO1T08:16,1999/09/16,3,5,,3.5,3,Default,From FMH DFSOUND 1055
2025/10/21,FPICO1T08:16,1999/09/16,3,5,,4.5,3,Default,From FMH DFSOUND 1055
2025/10/21,FPICO1T08:16,1999/09/16,3,5,,5,3,Default,From FMH DFSOUND 1055
2025/10/21,FPICO1T08:16,1999/09/16,3,5,,3,4,Default,From FMH DFROTTEN 1056
2025/10/21,FPICO1T08:16,1999/09/16,3,5,,3.5,4,Default,From FMH DFROTTEN 1056
2025/10/21,FPICO1T08:16,1999/09/16,3,5,,3.5,4,Default,From FMH DFROTTEN 1056
