Report Date,MacroPlot Name,Sample Event Date,Visited,Num. Transects,Num. Quad./Tran.,Quad. Length,Quad. Width,Quad. Area,Collected By,Entered/Verif. By,UV1 Description,UV2 Description,UV3 Description,Comment,SampleData_CreatedBy,SampleData_CreatedDate,SampleData_ModifiedBy,SampleData_ModifiedDate
2025/10/21,FPICO1T08:25,2000/09/22,True,1,1,10,25,250,,,,,,,,,,

Report Date,MacroPlot Name,Sample Event Date,Subplot Frac.,Transect,Quadrat,Item Code,Status,Height,Count,Comment
2025/10/21,FPICO1T08:25,2000/09/22,1,1,1,ABLA,L,0.15,19,From FMH TREESEED 1058
2025/10/21,FPICO1T08:25,2000/09/22,1,1,1,ABLA,L,0.3,14,From FMH TREESEED 1058
2025/10/21,FPICO1T08:25,2000/09/22,1,1,1,ABLA,L,0.6,11,From FMH TREESEED 1058
2025/10/21,FPICO1T08:25,2000/09/22,1,1,1,ABLA,L,1,3,From FMH TREESEED 1058
2025/10/21,FPICO1T08:25,2000/09/22,1,1,1,ABLA,L,2,1,From FMH TREESEED 1058
2025/10/21,FPICO1T08:25,2000/09/22,1,1,1,PICO,L,0.15,3,From FMH TREESEED 1058
2025/10/21,FPICO1T08:25,2000/09/22,1,1,1,PICO,L,0.3,4,From FMH TREESEED 1058
2025/10/21,FPICO1T08:25,2000/09/22,1,1,1,PICO,L,0.6,3,From FMH TREESEED 1058
2025/10/21,FPICO1T08:25,2000/09/22,1,1,1,PICO,L,1,1,From FMH TREESEED 1058
2025/10/21,FPICO1T08:25,2000/09/22,1,1,1,PICO,L,2,3,From FMH TREESEED 1058
2025/10/21,FPICO1T08:25,2000/09/22,1,1,1,PICO,L,3,1,From FMH TREESEED 1058
2025/10/21,FPICO1T08:25,2000/09/22,1,1,1,PIEN,L,0.3,1,From FMH TREESEED 1058
2025/10/21,FPICO1T08:25,2000/09/22,1,1,1,PIEN,L,0.6,1,From FMH TREESEED 1058
2025/10/21,FPICO1T08:25,2000/09/22,1,1,1,PIEN,L,1,3,From FMH TREESEED 1058
2025/10/21,FPICO1T08:25,2000/09/22,1,1,1,PIEN,L,2,3,From FMH TREESEED 1058
2025/10/21,FPICO1T08:25,2000/09/22,1,1,1,PIEN,L,3,1,From FMH TREESEED 1058
